"jobtitle","company","location","jobsummary","yearly_salary","id"
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",204
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",198
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","$45,760",213
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",152
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",154
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","This position primarily reports to Washington, DC and may be assigned to multiple duty stations nationally and internationally. Show us you have the talent","$49,508 - $146,120 ",158
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",219
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",223
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",231
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","$45,760",238
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",163
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",165
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",263
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",258
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",269
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","$45,760",253
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",173
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",273
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",296
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",274
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",285
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","$45,760",280
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","$45,760",292
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",174
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",177
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",318
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",325
