"jobtitle","company","location","jobsummary","yearly_salary","id"
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",1157
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",1162
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","$41,600",1168
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",1174
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",1178
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",641
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",644
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",646
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",8
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",38
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",49
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",75
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",95
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",135
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",153
"Communications Operator-Customer Service Rep","Inspire Malibu","California","We are searching for another member to add to our close-knit team of individuals. We are a hard working company and are seeking to improve our performance","$33,280 - $56,160",159
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","$41,600",1191
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",1198
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",161
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",176
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",185
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",194
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",200
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",207
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","$33,280 - $56,160",210
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",226
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",236
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",248
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",271
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",277
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",290
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",304
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",317
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","$33,280 - $56,160",335
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",352
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",360
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",364
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",377
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",385
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",389
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",398
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",411
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",425
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","$33,280 - $56,160",428
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",441
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","$33,280 - $56,160",453
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",462
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","$33,280 - $56,160",476
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",488
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",491
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",508
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",518
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",543
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",555
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",563
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","$33,280 - $56,160",588
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",599
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",601
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",620
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",634
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",663
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",671
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",692
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",699
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","$33,280 - $56,160",713
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",60
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",105
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",118
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","En CIMC, nuestras Amas de Llaves son responsables de realizar funciones de limpieza y lavandería para crear un ambiente seguro y acogedor para pacientes,","$39,520 - $47,840",125
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",526
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",16
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",22
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",70
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",108
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",190
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",244
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",349
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",540
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",578
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",584
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",668
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",686
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",688
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",696
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",721
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",727
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",734
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",739
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",746
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",752
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",759
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",764
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",771
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",778
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",783
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",787
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",795
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",803
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",808
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",814
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",821
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",828
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",836
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",844
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",849
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",857
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",864
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Great part-time job available. Fantastic Race, Inc, the world's preeminent scavenger hunt/ sightseeing company is looking for game hosts for its race on","$62,400 - $104,000",870
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",875
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",879
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",885
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",890
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",896
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",902
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",907
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",912
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",918
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",923
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",928
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",936
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",942
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",948
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",953
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",961
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",967
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",972
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",978
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",985
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",991
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",996
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1004
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1009
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1015
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1020
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1027
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1032
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1040
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1048
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1054
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1059
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1067
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1073
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1078
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1084
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1092
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1097
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1101
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1106
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1112
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1117
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1122
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1127
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1135
