"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",837
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",838
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",839
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",840
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",841
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",843
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",820
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",825
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","3 days ago","22-01-10","$41,600",842
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",427
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",845
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",846
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",847
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",848
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Statement of Service (Certification Letter): If you are still on active duty you must submit","30+ days ago","22-01-10","$55,214 - $89,054 ",429
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",850
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",851
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",852
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",853
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",854
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",855
"Housekeeping Supervisor","Catalina Island Medical Center","Avalon, CA","Responsible for overseeing public areas as well as patient rooms to ensure they are according to Omni's cleanliness standards.","Just posted","22-01-10","None",856
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",439
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",858
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",859
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",860
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",861
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",862
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",440
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",865
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",867
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",868
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",869
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",442
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Start Date:  January, 2022 Island Ventures is looking for a Front Desk / Guest Services Agent to work across our 2 luxury, oceanfront hotels on Catalina","EmployerActive 3 days ago","22-01-10","None",871
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",863
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",866
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Job Description Join the Clean Energy Revolution Become a Plant Equipment Operator at Southern California Edison (SCE) and build a better tomorrow. In this","30+ days ago","22-01-10","None",873
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Are you an individual who is highly sociable, draws energy from working with people, and is optimistic and outgoing? Catalina Island Fitness and Therapy","4 days ago","22-01-10","None",874
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",451
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",876
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",877
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",878
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",452
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",880
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",881
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",883
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",884
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Statement of Service (Certification Letter): If you are still on active duty you must submit","30+ days ago","22-01-10","$55,214 - $89,054 ",454
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",886
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",888
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",889
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",460
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",891
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",892
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",894
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",895
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",461
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",897
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",899
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. No experience necessary. Passion for people and restaurants a must. Job Types: Full-time, Part-time Pay: From $20","3 days ago","22-01-10","$41,600",872
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",882
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",887
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",893
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",898
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",900
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",901
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",463
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",903
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",905
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",906
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",473
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",908
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",909
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",910
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",911
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",475
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",913
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",915
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",916
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",917
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Statement of Service (Certification Letter): If you are still on active duty you must submit","30+ days ago","22-01-10","$55,214 - $89,054 ",477
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",919
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",921
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",922
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",480
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",924
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",926
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",927
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",904
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",914
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",920
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","3 days ago","22-01-10","$41,600",925
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",481
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",929
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",930
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",931
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",932
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",933
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",934
"Housekeeping Supervisor","Catalina Island Medical Center","Avalon, CA","Responsible for overseeing public areas as well as patient rooms to ensure they are according to Omni's cleanliness standards.","Just posted","22-01-10","None",935
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",485
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",937
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",939
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",940
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",941
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",487
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",943
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",945
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",946
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",947
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",489
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",949
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",951
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",952
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",954
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",955
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",938
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","3 days ago","22-01-10","$41,600",944
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",950
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",956
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",957
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",958
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",959
"Housekeeping Supervisor","Catalina Island Medical Center","Avalon, CA","Responsible for overseeing public areas as well as patient rooms to ensure they are according to Omni's cleanliness standards.","Just posted","22-01-10","None",960
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",490
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",962
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",964
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",965
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",966
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",503
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",968
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",970
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",971
