"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",86
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",91
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",100
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",96
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",110
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",111
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",112
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",116
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",117
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",50
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",119
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",120
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",121
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",122
